id,component,type,submission_date,contact,source,reference,extraction_method,peak_identificaton,interpolation_method,extra_preprocessing,complete_sample_name,sample_source,sample_composition,sample_preparation,sample_substrate,raman_technique,raman_system,delivery_optics,laser_wavelength,laser_power,acquisition_time,orig_spectral_range,orig_spectral_resolution,orig_spatial_resolution,detector,calibration,cropping,spike_removal,denoising,background_removal,baseline_removal,normalization,additional_info
72,oleic acid,Lipids/FattyAcids,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4607,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,oleic acid,Sigma-Aldrich,"≥99% purity, liquid at room temp.",Drop of liquid, CaF2 slide,Spontaneous,"Confocal
Raman spectrometer WITec alpha300.  Air-cooled
solid state lase","Delivery and collection: 100× air
objective (Olympus MPLAN, NA (numerical aperture) = 0.90), multi-mode fiber (50 μm diameter).",532.0,20 mW,"0.5 s, 100 or more scans",Not specified,3 cm-1,Not specified,CCD,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,
73,palmitic acid,Lipids/FattyAcids,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4607,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,palmitic acid,Sigma-Aldrich,"≥99% purity, solid at room temp.",Pinch of solid on a CaF2 slide, CaF2 slide,Spontaneous,"Confocal
Raman spectrometer WITec alpha300.  Air-cooled
solid state lase","Delivery and collection: 100× air
objective (Olympus MPLAN, NA (numerical aperture) = 0.90), multi-mode fiber (50 μm diameter).",532.0,20 mW,"0.5 s, 100 or more scans",Not specified,3 cm-1,Not specified,CCD,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,
74,l-α-phosphatidylcholine,Lipids/Phospholipids,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4607,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,l-α-phosphatidylcholine,Sigma-Aldrich,"≥99% purity, solid at room temp.",Pinch of solid on a CaF2 slide, CaF2 slide,Spontaneous,"Confocal
Raman spectrometer WITec alpha300.  Air-cooled
solid state lase","Delivery and collection: 100× air
objective (Olympus MPLAN, NA (numerical aperture) = 0.90), multi-mode fiber (50 μm diameter).",532.0,20 mW,"0.5 s, 100 or more scans",Not specified,3 cm-1,Not specified,CCD,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,
75,l-α-phosphatidylethanolamine,Lipids/Phospholipids,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4607,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,l-α-phosphatidylethanolamine,Sigma-Aldrich,"≥99% purity, solid at room temp.",Pinch of solid on a CaF2 slide, CaF2 slide,Spontaneous,"Confocal
Raman spectrometer WITec alpha300.  Air-cooled
solid state lase","Delivery and collection: 100× air
objective (Olympus MPLAN, NA (numerical aperture) = 0.90), multi-mode fiber (50 μm diameter).",532.0,20 mW,"0.5 s, 100 or more scans",Not specified,3 cm-1,Not specified,CCD,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,
76,palmitoleic acid,Lipids/FattyAcids,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4607,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,palmitoleic acid,Sigma-Aldrich,"≥98.5% purity, liquid at room temp.",Drop of liquid, CaF2 slide,Spontaneous,"Confocal
Raman spectrometer WITec alpha300.  Air-cooled
solid state lase","Delivery and collection: 100× air
objective (Olympus MPLAN, NA (numerical aperture) = 0.90), multi-mode fiber (50 μm diameter).",532.0,20 mW,"0.5 s, 100 or more scans",Not specified,3 cm-1,Not specified,CCD,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,
77,stearic acid,Lipids/FattyAcids,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4607,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,stearic acid,Sigma-Aldrich,"≥99.5% purity, solid at room temp.",Pinch of solid on a CaF2 slide, CaF2 slide,Spontaneous,"Confocal
Raman spectrometer WITec alpha300.  Air-cooled
solid state lase","Delivery and collection: 100× air
objective (Olympus MPLAN, NA (numerical aperture) = 0.90), multi-mode fiber (50 μm diameter).",532.0,20 mW,"0.5 s, 100 or more scans",Not specified,3 cm-1,Not specified,CCD,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,
78,sphingomyelin,Lipids/Phospholipids,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4607,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,sphingomyelin,Sigma-Aldrich,"≥97% purity, solid at room temp.",Pinch of solid on a CaF2 slide, CaF2 slide,Spontaneous,"Confocal
Raman spectrometer WITec alpha300.  Air-cooled
solid state lase","Delivery and collection: 100× air
objective (Olympus MPLAN, NA (numerical aperture) = 0.90), multi-mode fiber (50 μm diameter).",532.0,20 mW,"0.5 s, 100 or more scans",Not specified,3 cm-1,Not specified,CCD,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,
79,triarachidin,Lipids/Triglycerides,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4607,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,triarachidin,Supelco,"Analytical standard purity, solid at room temp.",Lipid was placed on a metal ring,Metal ring,Fourier Transform ,MultiRAM FT-Raman,,1064.0,20 mW,128 scans,50-4000 cm-1,4 cm-1,Not specified,Germanium detector,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,
80,tribehenin,Lipids/Triglycerides,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4607,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,tribehenin,Supelco,"Analytical standard purity, solid at room temp.",Lipid was placed on a metal ring,Metal ring,Fourier Transform ,MultiRAM FT-Raman,,1064.0,20 mW,128 scans,50-4000 cm-1,4 cm-1,Not specified,Germanium detector,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,
81,tricaproin,Lipids/Triglycerides,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4607,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,tricaproin,Supelco,"Analytical standard purity, liquid at room temp.",Lipid was placed on a metal ring,Metal ring,Fourier Transform ,MultiRAM FT-Raman,,1064.0,20 mW,128 scans,50-4000 cm-1,4 cm-1,Not specified,Germanium detector,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,
82,tricaprin,Lipids/Triglycerides,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4607,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,tricaprin,Supelco,"Analytical standard purity, solid at room temp.",Lipid was placed on a metal ring,Metal ring,Fourier Transform ,MultiRAM FT-Raman,,1064.0,20 mW,128 scans,50-4000 cm-1,4 cm-1,Not specified,Germanium detector,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,
83,tricaprylin,Lipids/Triglycerides,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4607,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,tricaprylin,Supelco,"Analytical standard purity, liquid at room temp.",Lipid was placed on a metal ring,Metal ring,Fourier Transform ,MultiRAM FT-Raman,,1064.0,20 mW,128 scans,50-4000 cm-1,4 cm-1,Not specified,Germanium detector,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,
84,trielaidin,Lipids/Triglycerides,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4607,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,trielaidin,Supelco,"Analytical standard purity, solid at room temp.",Lipid was placed on a metal ring,Metal ring,Fourier Transform ,MultiRAM FT-Raman,,1064.0,20 mW,128 scans,50-4000 cm-1,4 cm-1,Not specified,Germanium detector,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,
85,tri-11-eicosenoin,Lipids/Triglycerides,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4607,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,tri-11-eicosenoin,Supelco,"Analytical standard purity, liquid at room temp.",Lipid was placed on a metal ring,Metal ring,Fourier Transform ,MultiRAM FT-Raman,,1064.0,20 mW,128 scans,50-4000 cm-1,4 cm-1,Not specified,Germanium detector,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,
86,trierucin,Lipids/Triglycerides,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4607,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,trierucin,Supelco,"Analytical standard purity, solid at room temp.",Lipid was placed on a metal ring,Metal ring,Fourier Transform ,MultiRAM FT-Raman,,1064.0,20 mW,128 scans,50-4000 cm-1,4 cm-1,Not specified,Germanium detector,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,
87,trilinolein,Lipids/Triglycerides,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4607,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,trilinolein,Sigma-Aldrich,"≥98% purity, liquid at room temp.",Lipid was placed on a metal ring,Metal ring,Fourier Transform ,MultiRAM FT-Raman,,1064.0,20 mW,128 scans,50-4000 cm-1,4 cm-1,Not specified,Germanium detector,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,
88,trilinolenin,Lipids/Triglycerides,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4607,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,trilinolenin,Supelco,"Analytical standard purity, liquid at room temp.",Lipid was placed on a metal ring,Metal ring,Fourier Transform ,MultiRAM FT-Raman,,1064.0,20 mW,128 scans,50-4000 cm-1,4 cm-1,Not specified,Germanium detector,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,
89,trilaurin,Lipids/Triglycerides,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4607,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,trilaurin,Supelco,"Analytical standard purity, solid at room temp.",Lipid was placed on a metal ring,Metal ring,Fourier Transform ,MultiRAM FT-Raman,,1064.0,20 mW,128 scans,50-4000 cm-1,4 cm-1,Not specified,Germanium detector,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,
90,trimyristin,Lipids/Triglycerides,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4607,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,trimyristin,Supelco,"Analytical standard purity, solid at room temp.",Lipid was placed on a metal ring,Metal ring,Fourier Transform ,MultiRAM FT-Raman,,1064.0,20 mW,128 scans,50-4000 cm-1,4 cm-1,Not specified,Germanium detector,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,
91,triolein,Lipids/Triglycerides,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4607,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,triolein,Supelco,"Analytical standard purity, liquid at room temp.",Lipid was placed on a metal ring,Metal ring,Fourier Transform ,MultiRAM FT-Raman,,1064.0,20 mW,128 scans,50-4000 cm-1,4 cm-1,Not specified,Germanium detector,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,
92,tripalmitin,Lipids/Triglycerides,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4607,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,tripalmitin,Supelco,"Analytical standard purity, solid at room temp.",Lipid was placed on a metal ring,Metal ring,Fourier Transform ,MultiRAM FT-Raman,,1064.0,20 mW,128 scans,50-4000 cm-1,4 cm-1,Not specified,Germanium detector,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,
